CommitId;RefactoringType;RefactoringDetail
94d7ae9917c82bc5251b7e54daa89dc9a6b84bce;Change Variable Type;Change Variable Type	lookupNode : InetSocketAddress to lookupNode : ConnectionString.UnresolvedSocket in method private seedNodesViaDnsSrv(connectionString ConnectionString, environment CouchbaseEnvironment, seedNodes List<String>) : void in class com.couchbase.client.java.CouchbaseAsyncCluster
53213fe6b03c521a3ea30966ef5662845d1771b2;Change Parameter Type;Change Parameter Type	targetNode : InetAddress to targetNode : String in method private createN1qlRequest(query N1qlQuery, bucket String, username String, password String, targetNode String) : GenericQueryRequest in class com.couchbase.client.java.query.core.N1qlQueryExecutor
5269b8f459103cb6011a7e7780c7ab4f53cec8bc;Change Variable Type;Change Variable Type	networkAddress : NetworkAddress to networkAddress : String in method package sendAddNodeRequest(address InetSocketAddress) : Observable<Boolean> in class com.couchbase.client.java.cluster.DefaultAsyncClusterManager
37dbcb94cc056b7803d00ae7cc373d7041289cbc;Change Return Type;Change Return Type	KeysPath to JoinPath in method public as(alias String) : JoinPath in class com.couchbase.client.java.query.dsl.path.DefaultJoinPath
37dbcb94cc056b7803d00ae7cc373d7041289cbc;Change Return Type;Change Return Type	KeysPath to JoinPath in method public as(alias String) : JoinPath in class com.couchbase.client.java.query.dsl.path.JoinPath
e1911466387727ad1161dfa3d9284a40b2973128;Rename Variable;Rename Variable	bucketExists : boolean to canUseBucket : boolean in method public buildWithCluster(cluster Cluster, env CouchbaseEnvironment, authed boolean) : CouchbaseTestContext in class com.couchbase.client.java.util.CouchbaseTestContext.Builder
8424282fb1d609d8f5df03341077def985c45c9b;Change Variable Type;Change Variable Type	environment : CouchbaseEnvironment to builder : DefaultCouchbaseEnvironment.Builder in method public setup() : void in class com.couchbase.client.java.FieldLevelEncryptionKeyValueTest
8424282fb1d609d8f5df03341077def985c45c9b;Rename Variable;Rename Variable	environment : CouchbaseEnvironment to builder : DefaultCouchbaseEnvironment.Builder in method public setup() : void in class com.couchbase.client.java.FieldLevelEncryptionKeyValueTest
8424282fb1d609d8f5df03341077def985c45c9b;Move And Rename Attribute;Move And Rename Attribute	private testProperties : Properties renamed to private mockProperties : Properties and moved from class com.couchbase.client.java.util.CouchbaseTestContext.Builder to class com.couchbase.client.java.util.CouchbaseTestContext
8424282fb1d609d8f5df03341077def985c45c9b;Move Method;Move Method	private isMockEnabled() : boolean from class com.couchbase.client.java.util.CouchbaseTestContext.Builder to public isMockEnabled() : boolean from class com.couchbase.client.java.util.CouchbaseTestContext
4d19fd45ddea135532ff862caf20f9db95c8a009;Inline Variable;Inline Variable	jsonObject : JsonObject in method protected doDecode(id String, content ByteBuf, cas long, expiry int, flags int, status ResponseStatus) : JsonDocument from class com.couchbase.client.java.transcoder.crypto.JsonCryptoTranscoder
a37d6c0cc39be1b98a123d2aeff70eb3f82d9644;Rename Variable;Rename Variable	params : AnalyticsParams to that : AnalyticsParams in method public equals(o Object) : boolean in class com.couchbase.client.java.analytics.AnalyticsParams
b47acb14ad8fc6ebe7448da2144049c059300cec;Rename Variable;Rename Variable	kp : JceksKeyStoreProvider to kp2 : JceksKeyStoreProvider in method public setup() : void in class com.couchbase.client.java.FieldLevelEncryptionKeyValueTest
b47acb14ad8fc6ebe7448da2144049c059300cec;Change Return Type;Change Return Type	Map<String,ValueEncryptionConfig> to Map<String,String> in method public encryptionPathInfo() : Map<String,String> in class com.couchbase.client.java.document.json.JsonObject
