CommitId;RefactoringType;RefactoringDetail
3b1e377f36ce1262cc508b22526e9997cb8dcb62;Extract Interface;Extract Interface	com.facebook.imagepipeline.image.HasImageMetadata from classes [com.facebook.imagepipeline.image.CloseableImage]
649c212a4bb36f76d5ebf1dd61793032818a2302;Move Class;Move Class	com.facebook.imagepipeline.cache.CountingMemoryCache.CacheTrimStrategy moved to com.facebook.imagepipeline.cache.MemoryCache.CacheTrimStrategy
649c212a4bb36f76d5ebf1dd61793032818a2302;Rename Parameter;Rename Parameter	bitmapCountingMemoryCache : CountingMemoryCache<CacheKey,CloseableImage> to bitmapMemoryCache : MemoryCache<CacheKey,CloseableImage> in method public get(bitmapMemoryCache MemoryCache<CacheKey,CloseableImage>, imageCacheStatsTracker ImageCacheStatsTracker) : InstrumentedMemoryCache<CacheKey,CloseableImage> in class com.facebook.imagepipeline.cache.BitmapMemoryCacheFactory
649c212a4bb36f76d5ebf1dd61793032818a2302;Change Parameter Type;Change Parameter Type	bitmapCountingMemoryCache : CountingMemoryCache<CacheKey,CloseableImage> to bitmapMemoryCache : MemoryCache<CacheKey,CloseableImage> in method public get(bitmapMemoryCache MemoryCache<CacheKey,CloseableImage>, imageCacheStatsTracker ImageCacheStatsTracker) : InstrumentedMemoryCache<CacheKey,CloseableImage> in class com.facebook.imagepipeline.cache.BitmapMemoryCacheFactory
649c212a4bb36f76d5ebf1dd61793032818a2302;Rename Parameter;Rename Parameter	encodedCountingMemoryCache : CountingMemoryCache<CacheKey,PooledByteBuffer> to encodedMemoryCache : MemoryCache<CacheKey,PooledByteBuffer> in method public get(encodedMemoryCache MemoryCache<CacheKey,PooledByteBuffer>, imageCacheStatsTracker ImageCacheStatsTracker) : InstrumentedMemoryCache<CacheKey,PooledByteBuffer> in class com.facebook.imagepipeline.cache.EncodedMemoryCacheFactory
649c212a4bb36f76d5ebf1dd61793032818a2302;Change Parameter Type;Change Parameter Type	encodedCountingMemoryCache : CountingMemoryCache<CacheKey,PooledByteBuffer> to encodedMemoryCache : MemoryCache<CacheKey,PooledByteBuffer> in method public get(encodedMemoryCache MemoryCache<CacheKey,PooledByteBuffer>, imageCacheStatsTracker ImageCacheStatsTracker) : InstrumentedMemoryCache<CacheKey,PooledByteBuffer> in class com.facebook.imagepipeline.cache.EncodedMemoryCacheFactory
649c212a4bb36f76d5ebf1dd61793032818a2302;Change Parameter Type;Change Parameter Type	trimStrategy : CountingMemoryCache.CacheTrimStrategy to trimStrategy : MemoryCache.CacheTrimStrategy in method public setBitmapMemoryCacheTrimStrategy(trimStrategy MemoryCache.CacheTrimStrategy) : Builder in class com.facebook.imagepipeline.core.ImagePipelineConfig.Builder
649c212a4bb36f76d5ebf1dd61793032818a2302;Change Return Type;Change Return Type	CountingMemoryCache<CacheKey,PooledByteBuffer> to MemoryCache<CacheKey,PooledByteBuffer> in method public getEncodedCountingMemoryCache() : MemoryCache<CacheKey,PooledByteBuffer> in class com.facebook.imagepipeline.core.ImagePipelineFactory
fa2f279d3ae3dccd602ae6e2d74871298dae7162;Extract Method;Extract Method	private showInternal(uri Uri, multiUri MultiUri, imageOptions ImageOptions, target View) : void extracted from public show(uri Uri, imageOptions ImageOptions, target View) : void in class com.facebook.fresco.vito.view.VitoView
6c05bc6f3d69648a6a3129d866cbcac4b739f327;Change Return Type;Change Return Type	ImageDecodeOptionsBuilder to T in method public setMinDecodeIntervalMs(intervalMs int) : T in class com.facebook.imagepipeline.common.ImageDecodeOptionsBuilder
6c05bc6f3d69648a6a3129d866cbcac4b739f327;Change Return Type;Change Return Type	ImageDecodeOptionsBuilder to T in method public setDecodePreviewFrame(decodePreviewFrame boolean) : T in class com.facebook.imagepipeline.common.ImageDecodeOptionsBuilder
